AR,SR,MLR,MCPR,ECPR,PR,MCPD,ECPD,MPD,total_syllables,total_duration,phonation_time,n_pauses,n_mid_clause_pauses,n_end_clause_pauses,n_clauses,file
3.051,1.992,4.82,0.1132,0.0981,0.2113,0.701,0.968,0.825,265,133.06,86.86,56,30,26,34,ALL_030_F_CMN_ENG_ST1.TextGrid
3.237,2.223,5.61,0.0997,0.0816,0.1813,0.591,1.004,0.777,331,148.88,102.27,60,33,27,38,ALL_030_F_CMN_ENG_ST2.TextGrid
2.89,1.684,3.65,0.1779,0.101,0.2788,0.719,1.188,0.889,208,123.52,71.97,58,37,21,22,ALL_031_M_VIE_ENG_ST1.TextGrid
3.233,2.004,5.0,0.1259,0.0778,0.2037,0.94,0.917,0.931,270,134.73,83.52,55,34,21,29,ALL_031_M_VIE_ENG_ST2.TextGrid
4.586,2.981,6.36,0.1011,0.0618,0.1629,0.527,1.037,0.72,178,59.71,38.82,29,18,11,20,ALL_032_M_CMN_ENG_ST1.TextGrid
4.634,3.185,7.89,0.061,0.0704,0.1315,0.665,0.818,0.747,213,66.88,45.96,28,13,15,19,ALL_032_M_CMN_ENG_ST2.TextGrid
4.15,2.792,6.7,0.0373,0.1119,0.1493,0.681,0.82,0.785,134,48.0,32.29,20,5,15,19,ALL_033_M_CMN_ENG_ST1.TextGrid
4.05,2.49,6.5,0.0721,0.0865,0.1587,0.714,1.193,0.975,208,83.54,51.36,33,15,18,23,ALL_033_M_CMN_ENG_ST2.TextGrid
3.926,2.717,7.0,0.0741,0.0741,0.1481,0.799,0.731,0.765,189,69.57,48.14,28,14,14,28,ALL_034_M_HIN_ENG_ST1.TextGrid
3.752,2.818,6.57,0.0725,0.0797,0.1522,0.547,0.61,0.58,138,48.97,36.78,21,10,11,20,ALL_034_M_HIN_ENG_ST2.TextGrid
