file_id,task,AR_auto,AR_manual,SR_auto,SR_manual,MLR_auto,MLR_manual,MCPR_auto,MCPR_manual,ECPR_auto,ECPR_manual,PR_auto,PR_manual,MCPD_auto,MCPD_manual,ECPD_auto,ECPD_manual,MPD_auto,MPD_manual
ALL_091_M_TUR_ENG_ST1,ST1,3.366,3.407,2.093,2.246,3.57,3.6,0.1835,0.188,0.0963,0.0897,0.2798,0.2778,0.583,0.479,0.767,0.685,0.646,0.546
ALL_091_M_TUR_ENG_ST2,ST2,3.713,3.719,2.354,2.466,3.44,3.6,0.1964,0.184,0.0945,0.0938,0.2909,0.2778,0.504,0.441,0.598,0.593,0.534,0.492
ALL_092_M_TUR_ENG_ST1,ST1,4.264,4.265,2.895,2.944,5.53,5.81,0.0791,0.0722,0.1073,0.1056,0.1864,0.1778,0.49,0.515,0.672,0.644,0.595,0.592
ALL_092_M_TUR_ENG_ST2,ST2,4.273,4.285,2.724,2.71,6.12,6.09,0.0663,0.0667,0.102,0.1026,0.1684,0.1692,0.764,0.774,0.808,0.819,0.79,0.801
ALL_093_M_TUR_ENG_ST1,ST1,4.077,4.209,2.889,3.091,7.14,8.23,0.085,0.0748,0.06,0.0514,0.145,0.1262,0.688,0.665,0.707,0.705,0.696,0.681
ALL_094_F_KOR_ENG_ST1,ST1,3.252,3.343,1.979,1.967,4.51,3.95,0.1018,0.1205,0.1257,0.1386,0.2275,0.259,0.985,0.892,0.776,0.735,0.87,0.808
ALL_094_F_KOR_ENG_ST2,ST2,3.121,3.456,2.007,2.076,4.53,4.4,0.1176,0.1374,0.1078,0.0948,0.2255,0.2322,0.864,0.769,0.705,0.913,0.788,0.828
ALL_095_M_KOR_ENG_ST1,ST1,3.067,3.273,1.306,1.367,3.1,3.02,0.1969,0.2105,0.126,0.1203,0.3228,0.3308,1.204,1.034,1.611,1.731,1.363,1.287
ALL_095_M_KOR_ENG_ST2,ST2,3.46,3.727,1.709,1.719,4.35,4.15,0.1304,0.1358,0.0994,0.1049,0.2298,0.2407,0.917,0.91,1.778,1.809,1.289,1.302
ALL_096_F_KOR_ENG_ST1,ST1,3.313,3.528,2.253,2.404,5.16,5.51,0.088,0.0858,0.1056,0.0957,0.1937,0.1815,0.633,0.572,0.817,0.872,0.733,0.73
ALL_096_F_KOR_ENG_ST2,ST2,3.382,3.506,2.354,2.502,7.18,7.63,0.0744,0.0646,0.0668,0.0682,0.1412,0.1329,0.742,0.819,1.107,0.902,0.915,0.862
ALL_097_F_KOR_ENG_ST1,ST1,3.86,3.836,2.359,2.359,6.0,6.21,0.0517,0.046,0.1207,0.1149,0.1724,0.1609,0.579,0.531,1.117,1.207,0.956,1.014
ALL_097_F_KOR_ENG_ST2,ST2,3.446,3.29,1.965,1.936,5.18,5.37,0.0918,0.0931,0.1063,0.098,0.1981,0.1912,0.909,0.867,1.273,1.344,1.104,1.112
ALL_098_M_GER_ENG_ST1,ST1,3.844,3.626,2.313,2.334,5.33,5.38,0.0982,0.0885,0.0982,0.1062,0.1964,0.1947,0.981,0.974,0.772,0.626,0.876,0.785
ALL_098_M_GER_ENG_ST2,ST2,4.28,4.123,3.427,3.364,13.58,12.31,0.0368,0.0375,0.0429,0.05,0.0798,0.0875,0.673,0.554,0.778,0.679,0.73,0.625
